Email,Action,Count
user2@gmail.com , 5,1
freddy@gmail.com , 2,1
user2@gmail.com , 2,1
user2@gmail.com , 8,1
user2@gmail.com , 7,1
fedro@gmail.com , 2,1
user5@gmail.com , 8,1
user5@gmail.com , 7,1
user5@gmail.com , 2,1
user7@gmail.com , 7,2
user7@gmail.com , 8,1
hopefullylast@gmail.com , 8,1
hopefullylast@gmail.com , 7,1
user1@gmail.com , 8,1
user1@gmail.com , 7,1
hopefullylast@gmail.com , 2,1
user1@gmail.com , 2,2
testing@gmail.com , 7,1
testing@gmail.com , 8,1
fedro@gmail.com , 8,1
testing@gmail.com , 5,1
fedro@gmail.com , 7,1
testing@gmail.com , 6,1
user1@gmail.com , 3,1
testing@gmail.com , 3,1
testing@gmail.com , 4,5
testing@gmail.com , 1,1
testing@gmail.com , 2,5
freddy@gmail.com , 8,1
freddy@gmail.com , 7,1
